Date,Time,DayHigh,DayLow,IsDayHighBreak,IsDayLowBreak,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,points_from_target_high,SLHigh,points_from_SL_High,TargetLow,points_from_Target_Low,SLLow,points_from_SL_low,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow
20110527,11:45,10668.00,10516.75,True,False,True,False,10735.20,67.20,10642.10,-25.90,10516.75,0.00,10516.75,0.00,10714.00,46.00,-197.25
20110530,11:45,10823.25,10715.10,False,False,False,False,10823.25,0.00,10823.25,0.00,10715.10,0.00,10715.10,0.00,10771.30,-51.95,-56.20
20110531,11:45,10944.75,10819.45,True,False,True,False,11036.75,92.00,10906.00,-38.75,10819.45,0.00,10819.45,0.00,11022.65,77.90,-203.20
20110601,11:45,11056.40,10978.80,False,True,False,True,11056.40,0.00,11056.40,0.00,10959.10,19.70,11053.35,-74.55,11034.20,-22.20,-55.40
20110602,11:45,10871.65,10829.05,True,True,True,True,10881.40,9.75,10802.35,-69.30,10802.35,26.70,10881.40,-52.35,10848.25,-23.40,-19.20
20110603,11:45,10946.75,10859.80,False,True,False,True,10946.75,0.00,10946.75,0.00,10751.10,108.70,10916.10,-56.30,10800.35,-146.40,59.45
20110606,11:45,10765.05,10682.30,True,False,True,False,10870.65,105.60,10698.30,-66.75,10682.30,0.00,10682.30,0.00,10858.80,93.75,-176.50
20110607,11:45,10900.90,10796.15,True,False,True,False,10918.25,17.35,10859.25,-41.65,10796.15,0.00,10796.15,0.00,10859.25,-41.65,-63.10
20110608,11:45,10868.35,10804.00,True,True,True,True,10882.30,13.95,10764.70,-103.65,10764.70,39.30,10882.30,-78.30,10795.95,-72.40,8.05
20110609,11:45,10850.35,10734.75,False,False,False,False,10850.35,0.00,10850.35,0.00,10734.75,0.00,10734.75,0.00,10783.90,-66.45,-49.15
20110610,11:45,10814.85,10695.30,False,True,False,True,10814.85,0.00,10814.85,0.00,10627.60,67.70,10736.85,-41.55,10722.45,-92.40,-27.15
20110613,11:45,10681.55,10616.05,True,False,True,False,10757.40,75.85,10661.90,-19.65,10616.05,0.00,10616.05,0.00,10716.50,34.95,-100.45
20110614,11:45,10830.40,10756.00,False,False,False,False,10830.40,0.00,10830.40,0.00,10756.00,0.00,10756.00,0.00,10803.40,-27.00,-47.40
20110615,11:45,10795.85,10735.90,False,True,False,True,10795.85,0.00,10795.85,0.00,10608.80,127.10,10765.70,-29.80,10625.90,-169.95,110.00
20110616,11:45,10632.00,10502.40,True,False,True,False,10706.00,74.00,10552.80,-79.20,10502.40,0.00,10502.40,0.00,10581.50,-50.50,-79.10
20110617,11:45,10631.80,10548.20,False,False,False,False,10631.80,0.00,10631.80,0.00,10548.20,0.00,10548.20,0.00,10585.05,-46.75,-36.85
20110620,11:45,10618.40,10340.40,False,False,False,False,10618.40,0.00,10618.40,0.00,10340.40,0.00,10340.40,0.00,10494.45,-123.95,-154.05
20110621,11:45,10625.85,10499.65,True,True,True,True,10645.10,19.25,10426.85,-199.00,10426.85,72.80,10645.10,-145.45,10462.90,-162.95,36.75
20110622,11:45,10551.80,10455.05,False,True,False,True,10551.80,0.00,10551.80,0.00,10435.05,20.00,10522.50,-67.45,10478.65,-73.15,-23.60
20110623,11:45,10516.45,10421.65,True,False,True,False,10553.35,36.90,10479.00,-37.45,10421.65,0.00,10421.65,0.00,10533.20,16.75,-111.55
20110624,11:45,10791.70,10584.25,True,False,True,False,10875.25,83.55,10765.25,-26.45,10584.25,0.00,10584.25,0.00,10857.75,66.05,-273.50
20110627,11:45,10958.90,10774.10,True,False,True,False,11068.60,109.70,10928.15,-30.75,10774.10,0.00,10774.10,0.00,11054.80,95.90,-280.70
20110628,11:45,11114.20,10986.70,False,False,False,False,11114.20,0.00,11114.20,0.00,10986.70,0.00,10986.70,0.00,11041.40,-72.80,-54.70
20110629,11:45,11145.90,11091.65,True,False,True,False,11168.35,22.45,11100.40,-45.50,11091.65,0.00,11091.65,0.00,11162.95,17.05,-71.30
20110630,11:45,11236.60,11182.45,True,True,True,True,11271.35,34.75,11149.20,-87.40,11149.20,33.25,11271.35,-88.90,11246.55,9.95,-64.10
20110701,11:45,11340.00,11199.40,False,True,False,True,11340.00,0.00,11340.00,0.00,11190.00,9.40,11268.75,-69.35,11259.20,-80.80,-59.80
20110704,11:45,11379.50,11322.05,True,False,True,False,11401.00,21.50,11340.70,-38.80,11322.05,0.00,11322.05,0.00,11380.70,1.20,-58.65
20110705,11:45,11413.60,11302.60,True,False,True,False,11431.70,18.10,11308.30,-105.30,11302.60,0.00,11302.60,0.00,11412.55,-1.05,-109.95
20110706,11:45,11404.70,11299.05,False,True,False,True,11404.70,0.00,11404.70,0.00,11255.05,44.00,11348.45,-49.40,11282.10,-122.60,16.95
20110707,11:45,11392.30,11232.15,True,False,True,False,11446.55,54.25,11329.45,-62.85,11232.15,0.00,11232.15,0.00,11420.00,27.70,-187.85
20110708,11:45,11451.25,11317.20,False,True,False,True,11451.25,0.00,11451.25,0.00,11270.00,47.20,11420.70,-103.50,11273.45,-177.80,43.75
20110711,11:45,11259.15,11155.90,False,True,False,True,11259.15,0.00,11259.15,0.00,11106.85,49.05,11167.00,-11.10,11144.15,-115.00,11.75
