Date,Time,DayHigh,DayLow,IsDayHighBreak,IsDayLowBreak,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,points_from_target_high,SLHigh,points_from_SL_High,TargetLow,points_from_Target_Low,SLLow,points_from_SL_low,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow,noBreak
20110509,13:00,11213.50,10956.35,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11082.25,0.00,0.00,True
20110510,13:00,11096.90,10963.10,False,True,False,True,0.00,0.00,0.00,0.00,10945.70,17.40,11067.05,-103.95,11012.90,0.00,-49.80,False
20110511,13:00,11043.90,10904.10,True,False,True,False,11097.25,53.35,10965.10,-78.80,0.00,0.00,0.00,0.00,11062.10,18.20,0.00,False
20110512,13:00,11076.00,10963.95,False,True,False,True,0.00,0.00,0.00,0.00,10865.15,98.80,10996.85,-32.90,10884.20,0.00,79.75,False
20110513,13:00,11125.35,10838.15,True,False,True,False,11180.40,55.05,10986.50,-138.85,0.00,0.00,0.00,0.00,11062.25,-63.10,0.00,False
20110516,13:00,10970.00,10909.65,False,True,False,True,0.00,0.00,0.00,0.00,10878.65,31.00,10963.95,-54.30,10912.20,0.00,-2.55,False
20110517,13:00,10972.45,10819.70,False,True,False,True,0.00,0.00,0.00,0.00,10617.15,202.55,10830.70,-11.00,10667.40,0.00,152.30,False
20110518,13:00,10695.70,10554.15,False,True,False,False,0.00,0.00,0.00,0.00,10550.95,3.20,10670.55,-116.40,10598.30,0.00,-44.15,False
20110519,13:00,10674.70,10574.95,False,True,False,True,0.00,0.00,0.00,0.00,10524.35,50.60,10605.50,-30.55,10571.70,0.00,3.25,False
20110520,13:00,10702.40,10540.95,True,False,True,False,10727.25,24.85,10614.85,-87.55,0.00,0.00,0.00,0.00,10653.95,-48.45,0.00,False
20110523,13:00,10606.40,10368.20,False,True,False,True,0.00,0.00,0.00,0.00,10339.95,28.25,10419.45,-51.25,10347.45,0.00,20.75,False
20110524,13:00,10524.80,10360.75,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10431.40,0.00,0.00,True
20110525,13:00,10428.25,10366.20,False,True,False,True,0.00,0.00,0.00,0.00,10340.65,25.55,10421.05,-54.85,10363.60,0.00,2.60,False
20110526,13:00,10494.55,10379.25,True,False,True,False,10501.90,7.35,10379.60,-114.95,0.00,0.00,0.00,0.00,10468.60,-25.95,0.00,False
20110527,13:00,10688.95,10516.75,True,False,True,False,10735.20,46.25,10682.25,-6.70,0.00,0.00,0.00,0.00,10714.00,25.05,0.00,False
20110530,13:00,10823.25,10715.10,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10771.30,0.00,0.00,True
20110531,13:00,10977.35,10819.45,True,False,True,False,11036.75,59.40,10949.95,-27.40,0.00,0.00,0.00,0.00,11022.65,45.30,0.00,False
20110601,13:00,11056.40,10959.10,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11034.20,0.00,0.00,True
20110602,13:00,10881.40,10828.50,False,True,False,True,0.00,0.00,0.00,0.00,10802.35,26.15,10877.35,-48.85,10848.25,0.00,-19.75,False
20110603,13:00,10946.75,10773.95,False,True,False,True,0.00,0.00,0.00,0.00,10751.10,22.85,10815.00,-41.05,10800.35,0.00,-26.40,False
20110606,13:00,10768.65,10682.30,True,False,True,False,10870.65,102.00,10723.65,-45.00,0.00,0.00,0.00,0.00,10858.80,90.15,0.00,False
20110607,13:00,10911.15,10796.15,True,False,True,False,10918.25,7.10,10859.25,-51.90,0.00,0.00,0.00,0.00,10859.25,-51.90,0.00,False
20110608,13:00,10882.30,10804.00,False,True,False,True,0.00,0.00,0.00,0.00,10764.70,39.30,10842.25,-38.25,10795.95,0.00,8.05,False
20110609,13:00,10850.35,10734.75,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10783.90,0.00,0.00,True
20110610,13:00,10814.85,10695.30,False,True,False,True,0.00,0.00,0.00,0.00,10627.60,67.70,10733.65,-38.35,10722.45,0.00,-27.15,False
20110613,13:00,10752.80,10616.05,True,False,True,False,10757.40,4.60,10691.75,-61.05,0.00,0.00,0.00,0.00,10716.50,-36.30,0.00,False
20110614,13:00,10830.40,10756.00,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10803.40,0.00,0.00,True
20110615,13:00,10795.85,10696.25,False,True,False,True,0.00,0.00,0.00,0.00,10608.80,87.45,10713.10,-16.85,10625.90,0.00,70.35,False
20110616,13:00,10706.00,10502.40,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10581.50,0.00,0.00,True
20110617,13:00,10631.80,10548.20,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10585.05,0.00,0.00,True
20110620,13:00,10618.40,10340.40,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10494.45,0.00,0.00,True
20110621,13:00,10645.10,10499.65,False,True,False,True,0.00,0.00,0.00,0.00,10426.85,72.80,10641.35,-141.70,10462.90,0.00,36.75,False
20110622,13:00,10551.80,10455.05,False,True,False,True,0.00,0.00,0.00,0.00,10435.05,20.00,10517.25,-62.20,10478.65,0.00,-23.60,False
20110623,13:00,10553.35,10421.65,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10533.20,0.00,0.00,True
20110624,13:00,10810.85,10584.25,True,False,True,False,10875.25,64.40,10765.25,-45.60,0.00,0.00,0.00,0.00,10857.75,46.90,0.00,False
20110627,13:00,11005.35,10774.10,True,False,True,False,11068.60,63.25,10953.40,-51.95,0.00,0.00,0.00,0.00,11054.80,49.45,0.00,False
20110628,13:00,11114.20,10986.70,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11041.40,0.00,0.00,True
20110629,13:00,11158.75,11091.65,True,False,True,False,11168.35,9.60,11113.60,-45.15,0.00,0.00,0.00,0.00,11162.95,4.20,0.00,False
20110630,13:00,11249.65,11182.45,True,True,True,True,11271.35,21.70,11149.20,-100.45,11149.20,33.25,11271.35,-88.90,11246.55,-3.10,-64.10,False
20110701,13:00,11340.00,11199.40,False,True,False,True,0.00,0.00,0.00,0.00,11190.00,9.40,11268.75,-69.35,11259.20,0.00,-59.80,False
20110704,13:00,11381.50,11322.05,True,False,True,False,11401.00,19.50,11340.70,-40.80,0.00,0.00,0.00,0.00,11380.70,-0.80,0.00,False
20110705,13:00,11413.60,11302.60,True,False,True,False,11431.70,18.10,11308.30,-105.30,0.00,0.00,0.00,0.00,11412.55,-1.05,0.00,False
20110706,13:00,11404.70,11299.05,False,True,False,True,0.00,0.00,0.00,0.00,11255.05,44.00,11326.30,-27.25,11282.10,0.00,16.95,False
20110707,13:00,11398.65,11232.15,True,False,True,False,11446.55,47.90,11329.45,-69.20,0.00,0.00,0.00,0.00,11420.00,21.35,0.00,False
20110708,13:00,11451.25,11317.20,False,True,False,True,0.00,0.00,0.00,0.00,11270.00,47.20,11420.70,-103.50,11273.45,0.00,43.75,False
20110711,13:00,11259.15,11123.20,False,True,False,True,0.00,0.00,0.00,0.00,11106.85,16.35,11161.60,-38.40,11144.15,0.00,-20.95,False
20110712,13:00,11131.75,10985.30,False,True,False,True,0.00,0.00,0.00,0.00,10941.30,44.00,11047.45,-62.15,11000.70,0.00,-15.40,False
20110713,13:00,11164.25,11060.90,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11158.25,0.00,0.00,True
20110714,13:00,11300.75,11072.50,True,False,True,False,11385.35,84.60,11224.75,-76.00,0.00,0.00,0.00,0.00,11253.25,-47.50,0.00,False
20110715,13:00,11334.60,11195.50,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11229.05,0.00,0.00,True
20110718,13:00,11277.45,11178.30,False,True,False,False,0.00,0.00,0.00,0.00,11176.85,1.45,11247.30,-69.00,11215.40,0.00,-37.10,False
20110719,13:00,11279.80,11204.75,True,False,True,False,11353.75,73.95,11255.95,-23.85,0.00,0.00,0.00,0.00,11301.10,21.30,0.00,False
20110720,13:00,11388.50,11222.05,False,True,False,True,0.00,0.00,0.00,0.00,11146.85,75.20,11260.65,-38.60,11150.95,0.00,71.10,False
20110721,13:00,11193.05,11069.95,False,True,False,True,0.00,0.00,0.00,0.00,11021.70,48.25,11097.35,-27.40,11051.60,0.00,18.35,False
20110722,13:00,11226.00,11105.70,True,False,True,False,11309.00,83.00,11201.30,-24.70,0.00,0.00,0.00,0.00,11300.40,74.40,0.00,False
20110725,13:00,11325.30,11233.35,True,False,True,False,11433.10,107.80,11265.05,-60.25,0.00,0.00,0.00,0.00,11382.75,57.45,0.00,False
20110726,13:00,11430.75,11068.20,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11114.40,0.00,0.00,True
20110727,13:00,11139.65,10961.95,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11000.00,0.00,0.00,True
20110728,13:00,10954.25,10852.10,False,True,False,True,0.00,0.00,0.00,0.00,10799.85,52.25,10939.65,-87.55,10830.15,0.00,21.95,False
20110729,13:00,10913.80,10758.40,True,False,True,False,10968.80,55.00,10759.65,-154.15,0.00,0.00,0.00,0.00,10905.35,-8.45,0.00,False
20110801,13:00,11064.90,10925.65,False,True,False,True,0.00,0.00,0.00,0.00,10882.70,42.95,10971.15,-45.50,10914.35,0.00,11.30,False
20110802,13:00,10885.10,10741.45,False,True,False,True,0.00,0.00,0.00,0.00,10720.30,21.15,10761.45,-20.00,10747.70,0.00,-6.25,False
20110803,13:00,10636.30,10545.15,True,False,True,False,10674.00,37.70,10595.45,-40.85,0.00,0.00,0.00,0.00,10671.15,34.85,0.00,False
20110804,13:00,10765.95,10642.85,False,True,False,True,0.00,0.00,0.00,0.00,10518.70,124.15,10698.85,-56.00,10525.55,0.00,117.30,False
